Year,Month,Longitude,Latitude,NDVI,NDMI
2017,6,74.81264009252207,32.527502364561606,0.0861159935593605,-0.13566432893276215
2017,9,74.61662769752719,32.841014398719324,0.8527442812919617,0.379585325717926
2017,9,74.52140627741052,32.6492240855598,0.8911564350128174,0.3765215575695038
2017,9,74.83923022493201,33.3384115715363,-0.05199698731303215,-0.040061045438051224
2017,9,74.50685356980779,32.815951402292384,0.8099352121353149,0.30098971724510193
2017,9,74.73179171695132,33.284422822960714,0.7756889462471008,0.21823245286941528
2017,9,74.55742872030372,33.236093460675086,0.6837376356124878,0.2866460680961609
2017,9,74.55176933401377,33.35673720333234,0.7404580116271973,0.27130162715911865
2017,9,74.68723527885899,33.204382931145666,0.8690115213394165,0.31850266456604004
2017,9,74.77176674709463,33.31604352096172,0.7046005129814148,0.1798882633447647
2017,9,74.82674364248275,33.33383016358729,0.8227545022964478,0.2699207365512848
2017,9,74.61716668669767,33.4346211384655,0.39895012974739075,-0.017285088077187538
2017,9,74.58006626546353,32.811190331286554,0.7758702635765076,0.3273926079273224
2017,9,74.79269749321462,33.18515898406551,0.8365988731384277,0.2628368139266968
2017,9,74.81264009252207,32.527502364561606,0.7525007128715515,0.24659483134746552
2017,9,74.56165080213908,33.43327366553932,0.6066482067108154,0.3238650858402252
2017,9,74.54134887671798,32.6732989351742,0.7685185074806213,0.2824171185493469
2017,9,74.80132131994218,33.33203353301905,0.8121755719184875,0.2030075192451477
2017,9,74.72900693957055,33.08948840630678,0.8294689655303955,0.12511499226093292
2017,9,74.85108798668239,33.41503786527169,0.7585139274597168,0.0923076942563057
2017,9,74.6474399117725,33.11167679382453,0.6410256624221802,0.12626995146274567
2017,9,74.62543118731156,33.226750981720244,0.8306551575660706,0.2917575240135193
2018,6,74.90103431647944,33.191986180224816,0.6877278089523315,0.08261886239051819
2018,6,74.91334123587187,32.883953869300235,0.14475025236606598,-0.13615384697914124
2018,6,75.10055014108238,32.98483467570686,0.4368590712547302,-0.003049400169402361
2018,6,74.61662769752719,32.841014398719324,0.2834704518318176,-0.17499999701976776
2018,6,74.61519039307261,32.58364706981908,0.3144086003303528,-0.02644154243171215
2018,6,75.05087330587057,32.91961698607978,0.32700949907302856,-0.028331201523542404
2018,6,74.88261885315498,33.28451265448913,0.4556407332420349,0.12818336486816406
2018,6,74.84938118764256,32.829336300025766,0.555875301361084,0.04057738557457924
2018,6,74.69289466514894,32.6740175874015,0.13989637792110443,-0.10720324516296387
2018,6,74.52140627741052,32.6492240855598,0.12339989840984344,-0.19530533254146576
2018,6,74.90893949097969,32.7183045309086,0.28820374608039856,-0.1085343211889267
2018,6,74.93741608548628,33.05023202839076,0.45572608709335327,0.06132989004254341
2018,6,74.83923022493201,33.3384115715363,-0.13467492163181305,-0.06050420179963112
2018,6,74.50685356980779,32.815951402292384,0.06952965259552002,-0.13696369528770447
2018,6,74.73179171695132,33.284422822960714,0.5314285755157471,0.05639781802892685
2018,6,74.55742872030372,33.236093460675086,0.40618380904197693,0.011886619962751865
2018,6,75.01323389546596,32.89365567436872,0.26729291677474976,-0.03290974348783493
2018,6,75.08339231915569,33.26439039212485,0.4493969678878784,0.045385777950286865
2018,6,74.87839677131963,32.765376251796454,0.38129496574401855,-0.09219858050346375
