Year,Month,point_id,NDVI,NDMI,NDWI,EVI,LST,Rainfall,Rainfall_lag1,CHS_raw,CHS
2025,9,44,0.064615384,0.154212147,-0.026706232,0.29393012,24.08793872,352.6565933,477.1484165,-1.940662281,0.423548977
2019,6,45,0.281020105,-0.029030491,-0.386292845,0.184334035,40.3273986,56.92535005,90.99032831,-1.974635495,0.420161197
2019,7,45,0.311691254,-0.000691802,-0.41513592,0.210446401,32.98345455,569.8055401,56.92535005,-1.514709089,0.466024675
2019,8,45,0.824184895,0.349598616,-0.687344909,0.720776841,28.83004895,331.0539989,569.8055401,2.859447913,0.902211968
2019,9,45,0.739687085,0.234828502,-0.61310178,0.540498093,26.28151049,204.0772419,331.0539989,1.578555509,0.774482444
2020,6,45,0.420062691,0.008041892,-0.488499463,0.144385811,34.63006294,81.79674383,204.0772419,-1.247715237,0.492649079
2020,7,45,0.589995086,0.140545294,-0.544798315,0.432718248,29.53776224,304.3207916,81.79674383,0.363444929,0.653312629
2020,8,45,0.835755467,0.294449359,-0.708083928,0.659876215,28.39251748,671.2538948,304.3207916,2.523456847,0.868707219
2020,9,45,0.754705071,0.236937299,-0.657715321,0.541487784,29.42728671,70.60059876,671.2538948,1.872085944,0.803753055
2021,6,45,0.340879172,-0.00798442,-0.412253946,0.222332864,36.00206294,59.60765457,70.60059876,-1.587032949,0.4588126
2021,7,45,0.489051104,0.087613292,-0.50756532,0.355186429,30.34703963,668.3539104,59.60765457,-0.242901214,0.592848297
2021,8,45,0.608337879,0.303049982,-0.474849105,0.631736527,28.20133566,240.1655483,668.3539104,1.587296661,0.775354105
2021,9,45,0.82179445,0.226332292,-0.706851721,0.589591821,27.04740559,394.314621,240.1655483,2.030306255,0.819530653
2022,6,45,0.481200159,0.047312565,-0.530619025,0.314192829,36.4612028,97.46819544,394.314621,-0.41158095,0.576027694
2022,7,45,0.80331701,0.25773868,-0.690757751,0.638696976,28.82734266,663.253521,97.46819544,2.106894452,0.827167964
2022,8,45,0.905013204,0.325175881,-0.758830667,0.744974519,28.82456643,313.6077604,663.253521,3.231232709,0.939286038
2022,9,45,0.738422394,0.238977253,-0.630159855,0.546110852,27.18581119,174.2527462,313.6077604,1.614158901,0.778032785
2023,6,45,0.428008854,0.02650697,-0.486548811,0.3267773,32.17731469,181.5941648,174.2527462,-0.739850056,0.543292972
2023,7,45,0.041352995,0.127767846,-0.001289043,0.482876712,25.98001865,703.723629,181.5941648,-1.861743835,0.431418659
2023,8,45,0.850458264,0.316177726,-0.722080112,0.659270549,27.07227273,299.3709793,703.723629,2.851342814,0.901403734
2023,9,45,0.803194225,0.272516429,-0.716106892,0.620448293,27.37825874,264.5925293,299.3709793,2.240488033,0.840489804
2024,6,45,0.293375403,-0.04473111,-0.399317414,0.182946486,37.50055245,47.75992679,264.5925293,-1.830313106,0.434552905
2024,7,45,0.530145347,0.135869682,-0.515234351,0.44782193,28.433,406.598999,47.75992679,0.19397095,0.636412825
2024,8,45,0.847242653,0.329295248,-0.706099153,0.741465406,28.19650816,482.4688429,406.598999,2.868186989,0.903083421
2024,9,45,0.703677416,0.247077793,-0.61033541,0.55425684,27.29611189,221.1016727,482.4688429,1.649841757,0.78159105
2025,6,45,0.253263712,-0.051144667,-0.368821293,0.174220129,32.43246853,86.26652308,221.1016727,-1.986081871,0.419019773
2025,7,45,0.240236685,0.144104809,-0.157584682,0.412043302,26.89152914,644.9449568,86.26652308,-1.2434356,0.493075841
2025,8,45,0.818272352,0.250899136,-0.681399643,0.623506203,26.31444755,706.9556961,644.9449568,2.442811806,0.860665363
2025,9,45,0.671578944,0.19758673,-0.607560337,0.483628435,26.23934965,251.869606,706.9556961,1.412483513,0.757921883
2019,6,46,0.502800107,0.097244442,-0.483613104,0.387662386,30.7745463,85.02979356,86.95068169,-0.270407756,0.590105367
2019,7,46,0.581835866,0.15978393,-0.504520774,0.47166406,28.63893056,252.4374409,85.02979356,0.403240058,0.657280966
2019,8,46,0.675730109,0.240633741,-0.555503607,0.547586091,28.6005,209.4564114,252.4374409,1.260978657,0.742813945
2019,9,46,0.537812591,0.117827423,-0.496079087,0.334984799,27.28910417,182.9197178,209.4564114,-0.072483016,0.609842258
2020,6,46,0.373650104,-0.021235522,-0.412548572,0.231879607,33.34498611,84.56390122,182.9197178,-1.429743256,0.474497397
2020,7,46,0.323415965,-0.030865442,-0.36777091,0.213749387,32.59967361,150.3304502,84.56390122,-1.755867428,0.441976566
2020,8,46,0.584066033,0.133906707,-0.524472773,0.417514192,29.653,382.6661978,150.3304502,0.303750054,0.647359906
